,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
283894,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Memberships in a Professional Organization,,Support Services - Administration,,,,Dues And Fees *,,,Office of the Principal Services*,,,0.01,,General,SCHOOL BASED MANAGEMENT
76581,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Other Compensation,,,,,Regular Instruction,,,0.0,,,Career Ladder I/Ext Learning,1167.11,Instruction - Regular,General Purpose School,
193116,Curriculum Development,NO_LABEL,School Reported,School,NO_LABEL,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,Department Chair Supp,,,GRADE LEVEL/DEPT CHA,,,,,,,,,1983.02,,,
180625,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",Regular,,,,0.04525862068969999,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,1355.09734171,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
19053,Professional Development,ISPD,School Reported,School,At Risk,Instructional Coach,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,State Ed. Allotment,SKILLS SPECIALIST,,,Critical Needs Incentive,School ,,Instruction,All Campus Payroll,TEACHER BACHELOR,1564.28013862,"""Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,CRITICAL NEEDS SUPPLEMENT
222739,Aides Compensation,Instruction,School Reported,School,PreK,TA,Other Compensation/Stipend,PreK,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education ,Regular,,,,,ST.WIDE PARENT COALIT,,PARAPROFESSIONAL,386.39336000000003,COMMUNITY SERVICE,,COMMUNITY SERVICES OPERATION
338689,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Capital Outlay,,Support Services - Instructional Staff,,,,Capital Outlay,,,Instruction And Curriculum Development Services *,,,879.87,,Special Trust,FOUNDATION
124177,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER SUPPORT PERSONNEL       ,,,LEAD MAINTENANCE MECHANIC     ,,,,MAINTENANCE SOUTH             ,1.0,MAINTENANCE OF PLANT          ,CARPENTRY/CABINET MAKING      ,,64284.9710867,,GENERAL FUND                  ,
444731,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,SEVERE DISABILITIES,GENERAL FUND,"Teacher,Spec Ed Center Prg ",Regular,,,,,SPECIAL ED. - SEVERE NEEDS,,PROFESSIONAL-INSTRUCTIONAL,994.85,SPECIAL EDUCATION-TMD MIDDLE,,SPECIAL EDUCATION
127273,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,SHIFT DIFFERENTIAL,CUSTODIAL SERVICES,LOCAL,,,,,,,,,ADDITIONAL GROSS PAY,-0.61,NON-INSTRUCTIONAL SUPPORT SERVICES,LOCAL FUND,
124826,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Instruction Services,,Support Services - Instructional Staff,,,,Professional And Technical Services *,,,Instruction And Curriculum Development Services *,,,-1964.23,,Special Trust,ITEMP 
172958,Data Processing & Information Services,Business Services,School on Central Budgets,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,ITEMGG-TECHNOLOGY APPLICATIONS,GENERAL FUND,"Programmer/Analyst, Senior ",n/a,,,TECHNOLOGY ENTERPRISE APPS,,NON-PROJECT,,PROFESSIONAL-OTHER,958.1816,INFORMATION SYSTEMS SERVICES,,CENTRAL
145310,Special Population Program Management & Support,ISPD,Leadership & Management,Non-School,Special Education,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,SPECIAL ED SYSTEMWIDE COSTS,GENERAL FUND,"Exec Dir, Student Services ",n/a,,,SPECIAL EDUCATION,0.500005866637,SPECIAL ED - EARLY CHILDHOOD,,ADMINISTRATOR,72092.42004069999,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
96950,Professional Development,ISPD,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,"TEACHER, FIFTH                ",,,,School ,,INST STAFF TRAINING SVCS      ,,,48.89,,GENERAL FUND                  ,SAC                           
434631,Food Services,O&M,Shared Services,School,Unspecified,Non-Position,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Food Services - Taxes and Benefits,,,,,,,,0.0,,,,98128.59,Food Services,Central Cafeteria,
425174,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,CLERICAL,Support Services - Administration,JUNIOR SECRETARY,,,,EN CLASSIFIED SLRY/HRLY/DA,1.0,Office of the Principal Services*,,,43099.3726432,,General,SCHOOL BASED MANAGEMENT
318107,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Nurse,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Health Services,,,NURSE LPN,,Special Education Support,,District Wide Resources,0.25,,HEALTH SERVICES,NURSE LPN,9377.47871276,Principal's Office,General Purpose School,
56275,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,0.004310344827590001,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,109.487938468,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
327662,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Other Compensation/Stipend,PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Principals' Budgets,"CLASSROOM AIDE, PRE-K",,Basic Educational Services - District Objective ,Salaries Or Wages For Support Personnel,School ,,Instruction,,AIDE,78.03,Basic Educational Services,General Operating Fund,EXTENDED DAYS
211323,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,27.3,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
54471,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,"CLASSROOM AIDE, SP.ED.,STR.LRN",,,Salaries Or Wages For Support Personnel,School ,0.71,Instruction,All Campus Payroll,AB AIDE,16415.1383704,Services To Students With Disabilities (Special Education),General Operating Fund,REGULAR PAY
9699,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,BONUSES                       ,,,"TEACHER, ASD                  ",,,,School ,,EXCEPTIONAL                   ,,,950.11,,GENERAL FUND                  ,SCHOOL RECOGNITION            
409160,Aides Compensation,Instruction,School Reported,School,PreK,TA,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,,DISTRICT SPECIAL REVENUE FUNDS,General Assignment ,Regular,,,,,TUITION BASED - ECE,,PARAPROFESSIONAL,382.76,EARLY CHILDHOOD,,REGULAR INSTRUCTION
121645,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",,,Extended Year,Summer School,,Instruction,Instruction And Curriculum,TEACHER MASTER,677.054080623,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED YEAR
198326,Food Services,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,PURCHASED FOOD,,SCHOOL NUTRITION SERVICE,,,,,,,SCHOOL NUTRITION,,,6749.02,Misc,School Nutrition Service Fund,
358888,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Project Manager ,n/a,,,FACILITY SERVICES,,EMPLOYEE RETIREMENT,,UNDESIGNATED,862.37,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
82456,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,CERTIFICATED EMPLOYEES SALARIES AND WAGES,,Special Instruction,,,,Certificated Employees Salaries And Wages,,,Disadvantaged Youth *,,,103115.55,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I PUBLIC SALARIES
9619,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Regular *,FOODSVC,Food Service Operations,ASST SATELLITE COOK,,,,IN FOOD SERVICE,0.294,"Food Purchasing, Preparation and Dispensing Services *",,,4962.27472,,Food Services,ELEM BREAKFAST
304625,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,Operations,TEACHER SUBSTITUTE POOL,,Basic Educational Services - District Objective ,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,CERTIFIED SUBSTITUTE,1668.01373563,Basic Educational Services,General Operating Fund,REGULAR PAY
132195,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Contracted Food Services,,Community Services,,,,Contracted Craft Or Trade Services *,,,Other Community Services *,,,-243.34,,Title I - Disadvantaged Children/Targeted Assistance,PARENT INVL-P/NP 
431938,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"School Counselor, High Sch ",Alternative,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,91.104,GUIDANCE SERVICES,,STUDENTS
329807,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ELA E-TEACHING SHELTERED ENG,,PROFESSIONAL-INSTRUCTIONAL,1207.1178400000001,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
110778,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Education Jobs Program,,,0.0,,,SUBSTITUTE TEACHER,141.3999,Instruction - Regular,School Federal Projects,EDUCATION JOBS FUND
54613,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Food,,,,,Undistributed,Food,School ,,Food Services (Child Nutrition Fund Only),Child Nutrition,,0.52,Undistributed,National School Breakfast And Lunch Program,
63956,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER SUPPORT PERSONNEL       ,,,BUS DRIVER                    ,,,,TRANSPORTATION                ,0.2125,PUPIL TRANSPORTATION SERVICES ,,,3141.75360592,,GENERAL FUND                  ,
434458,Substitute Compensation,Instruction,School on Central Budgets,Non-School,PreK,Substitute,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Short Term Sub ",Alternative,,,,,TUITION BASED - ECE,,PROFESSIONAL-INSTRUCTIONAL,44.31,EARLY CHILDHOOD,,REGULAR INSTRUCTION
19944,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,SEVERE DISABILITIES,GENERAL FUND,Elementary Spec Ed Para ,Regular,,,,,SPECIAL ED. - SEVERE NEEDS,,PARAPROFESSIONAL,949.31,SPECIAL EDUCATION,,SPECIAL EDUCATION
419746,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Social Worker,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,DISTRICT SPECIAL REVENUE FUNDS,Social Worker ,Regular,,,,, SUCCESS,,PROFESSIONAL-INSTRUCTIONAL,200.52136,SUCCESS - ELEMENTARY,,REGULAR INSTRUCTION
374365,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,STRATEGIC PLANNING,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Super Sub Rtd D/D ",n/a,,,CHIEF OPERATING OFFICER,0.004310344827590001,PERFORMANCE MANAGEMENT / DELL,,PROFESSIONAL-INSTRUCTIONAL,181.0074327,"PLANNING,RESEARCH,DEVELOPMENT",,CENTRAL
19338,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,TEXT BOOKS,TEXTBOOK PROGRAM,LOCAL,,,,,,,,,"PURCHASED ASSETS, MINOR EQUIP & RENTAL",3000.49,INSTRUCTIONAL PROGRAMS,LOCAL FUND,
300158,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Elementary ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-1113.13,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
413809,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,School ,0.0,INST STAFF TRAINING SVCS      ,,,266.12,,GENERAL FUND                  ,
417943,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Teacher, Disability Access ",n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,1249.57,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
343079,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Secondary (High) ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-76.18,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
136509,Instructional Materials & Supplies,Instruction,School Reported,School,Special Education,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,Classroom Supplies,,Special Instruction,,,,General Supplies *,,,Other Handicaps *,,,999.84,,General,SCHOOL BASED MANAGEMENT
193891,Food Services,O&M,School Reported,School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,FOOD SERVICES,FOOD SERVICE FUND,"Manager, Food Service I ",Regular,,,,1.02149222715,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",23425.4016403,FOOD PREPARATION/SERVING,,FOOD SERVICES OPERATIONS
428269,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Poverty,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,MATH/SCIENCE,ARRA - STIMULUS,"Teacher, Elementary ",n/a,,,MATH / SCIENCE,,TITLE I A - ARRA,,PROFESSIONAL-INSTRUCTIONAL,48.59512,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
149403,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Education Assistants,,,,,Special Education Instruction,,,0.0,,,SUBSTITUTE TEACHER,56.4,Instruction - SPED,General Purpose School,
213386,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",OTHER PURCHASED SERVICES,ADULT VOC ED OPPORTUNITY,ITEMGB - STATE GDPG FUND,(blank),Alternative,,,OPPORTUNITY SCHOOL,,NON-PROJECT,,UNDESIGNATED,3187.76,ITEMGB - TRADE AND INDUSTRIAL ED,,EDUCATION FOR ADULTS
401670,Professional Development,ISPD,School Reported,School,Poverty,Non-Position,Contracted Services,NO_LABEL,PreK-12 Operating,OTHER PROFESSIONAL SERVICES,,FEDERAL GDPG FUND,(blank),Regular,,,,,TITLE I IMPROVEMENT GRANT,,UNDESIGNATED,2999.8,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
204666,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,0.0172413793103,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,438.30175387199995,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
23849,Facilities & Maintenance,O&M,Shared Services,Non-School,NO_LABEL,Custodian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,GENERAL FUND,Custodian Asst I ,New/Closed Schl,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",84.32,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
297300,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Custodian Asst I ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-41.2,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
198949,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-Elementary ,,,,,1.0,,,KINDERGARTEN ,63307.29,KINDERGARTEN,General Fund,
77416,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ARTS ED,,PROFESSIONAL-INSTRUCTIONAL,658.2187200000002,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
120775,NO_LABEL,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,PURCHASED PROFESSIONAL AND TECH SVCS-OTHER FEES,,MISCELLANEOUS,,,,,,,INSTRUCTION,,,43.45,Misc,General Fund,
96533,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, REGULAR",,Basic Educational Services - District Objective ,Salaries And Wages For Teachers And Other Professi,School ,0.79,Instruction,All Campus Payroll,TEACHER MASTER,48398.9655873,Basic Educational Services,General Operating Fund,REGULAR PAY
153180,Substitute Compensation,Instruction,School Reported,School,PreK,Substitute,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,,ITEMGD PRESCHOOL PROGRAM,"Teacher, Short Term Sub ",Regular,,,,,ELPA - PRESCHOOL PROG,,PROFESSIONAL-INSTRUCTIONAL,0.46,EARLY CHILDHOOD,,REGULAR INSTRUCTION
349488,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,"CLASSROOM AIDE, SPECIAL ED.",,,Salaries Or Wages For Support Personnel,School ,1.0,Instruction,All Campus Payroll,AB AIDE,22342.3110968,Services To Students With Disabilities (Special Education),General Operating Fund,REGULAR PAY
380259,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Nurse,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,Nurse ,Turnaround,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,5060.82,NURSING SERVICES,,STUDENTS
168180,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Student Success Initiative Grant,"CLERICAL, SCHOOL ADMIN.",,Extended Week,Extra Duty Pay/Overtime For Support Personnel,School ,,Instruction,Instruction And Curriculum,GENERAL CLERICAL,41.63,Basic Educational Services,Intensive Reading Instruction Initiative Grant,EXTENDED DAYS
378886,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Elementary ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-23.48,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
106407,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,BONUSES                       ,,,BUS DRIVER                    ,,,,TRANSPORTATION                ,0.0,PUPIL TRANSPORTATION SERVICES ,,,55.68,,GENERAL FUND                  ,
382700,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Other Compensation,,,,,Regular Instruction,,,0.0,,,Career Ladder I/Ext Learning,1166.5,Instruction - Regular,General Purpose School,
209377,NO_LABEL,NO_LABEL,NO_LABEL,Non-School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,HIGH SCHOOL GENERAL ED PROGRAM 9-12,,,,,,,INSTRUCTION,,,43.95,HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12,General Fund,
438365,Other Non-Compensation,Instruction,School Reported,School,Unspecified,Non-Position,Contracted Services,NO_LABEL,PreK-12 Operating,CONTRACTUAL SERVICES - OTHER,GENERAL EDUCATION,LOCAL,,,,,,,,,CONTRACTUAL SERVICES - OTHER,29962.49,INSTRUCTIONAL PROGRAMS,LOCAL FUND,
